# GLIDER Experiment Data,,,,
# Experiment Name,Untitled Experiment,,,
# Start Time,2025-12-30T12:03:35.926117,,,
# Sample Interval (s),0.1,,,
,,,,
# Boards,,,,
#,Arduino,telemetrix,Connected,
,,,,
# Devices,,,,
#,led_1,DigitalOutput,board=Arduino,output=13
#,input,AnalogInput,board=Arduino,input=0
,,,,
timestamp,elapsed_ms,led_1:DigitalOutput,input:AnalogInput,
2025-12-30T12:04:12.092,36166.2,0,0,
2025-12-30T12:04:12.195,36269.1,0,0,
2025-12-30T12:04:12.309,36383.5,0,0,
2025-12-30T12:04:12.418,36492.5,0,0,
2025-12-30T12:04:12.526,36600.9,0,0,
2025-12-30T12:04:12.635,36709.2,0,0,
2025-12-30T12:04:12.746,36819.9,0,0,
2025-12-30T12:04:12.858,36932.1,0,0,
2025-12-30T12:04:12.963,37037.4,0,0,
2025-12-30T12:04:13.072,37146.7,0,0,
2025-12-30T12:04:13.181,37255.6,0,0,
2025-12-30T12:04:13.292,37365.9,0,0,
2025-12-30T12:04:13.401,37475,0,0,
2025-12-30T12:04:13.515,37589.5,0,0,
2025-12-30T12:04:13.618,37692.4,0,0,
2025-12-30T12:04:13.735,37809.5,0,0,
2025-12-30T12:04:13.843,37917.7,0,0,
2025-12-30T12:04:13.955,38029.4,0,0,
2025-12-30T12:04:14.067,38141.3,0,0,
2025-12-30T12:04:14.178,38252.5,0,0,
2025-12-30T12:04:14.273,38347.3,0,0,
2025-12-30T12:04:14.382,38456.4,0,0,
2025-12-30T12:04:14.497,38571.6,0,0,
2025-12-30T12:04:14.606,38680.5,0,0,
2025-12-30T12:04:14.716,38790.1,0,0,
2025-12-30T12:04:14.824,38898,0,0,
2025-12-30T12:04:14.934,39008.1,0,0,
2025-12-30T12:04:15.043,39117.1,0,0,
2025-12-30T12:04:15.163,39237.1,0,0,
2025-12-30T12:04:15.257,39331.6,0,0,
2025-12-30T12:04:15.370,39444.2,0,0,
2025-12-30T12:04:15.479,39553.7,0,0,
2025-12-30T12:04:15.587,39661.5,0,0,
2025-12-30T12:04:15.703,39777.5,0,0,
2025-12-30T12:04:15.806,39880.6,0,0,
2025-12-30T12:04:15.915,39989.7,0,0,
2025-12-30T12:04:16.030,40104.4,0,0,
2025-12-30T12:04:16.133,40207.9,0,0,
2025-12-30T12:04:16.248,40322,0,0,
2025-12-30T12:04:16.360,40434.4,0,0,
2025-12-30T12:04:16.472,40546.1,0,0,
2025-12-30T12:04:16.582,40656.4,0,0,
2025-12-30T12:04:16.694,40768,0,0,
2025-12-30T12:04:16.794,40868.3,0,0,
2025-12-30T12:04:16.903,40977.4,0,0,
2025-12-30T12:04:17.018,41092.8,0,0,
2025-12-30T12:04:17.122,41196.6,0,0,
2025-12-30T12:04:17.236,41310.8,0,0,
2025-12-30T12:04:17.346,41419.9,0,0,
2025-12-30T12:04:17.455,41529.5,0,0,
2025-12-30T12:04:17.557,41631.3,0,0,
2025-12-30T12:04:17.676,41750.1,0,0,
2025-12-30T12:04:17.786,41860.8,0,0,
2025-12-30T12:04:17.897,41971.4,0,0,
2025-12-30T12:04:17.992,42066.7,0,0,
2025-12-30T12:04:18.104,42177.9,0,0,
2025-12-30T12:04:18.214,42288.7,0,0,
2025-12-30T12:04:18.325,42399,0,0,
2025-12-30T12:04:18.429,42503.7,0,0,
2025-12-30T12:04:18.541,42615.7,0,0,
2025-12-30T12:04:18.662,42736.1,0,0,
2025-12-30T12:04:18.768,42842.7,0,0,
2025-12-30T12:04:18.869,42943.4,0,0,
2025-12-30T12:04:18.988,43062,0,0,
